DB00806	DB00794
DB00783	DB01395
DB00977	DB00294
DB00977	DB00367
DB00977	DB00404
DB00977	DB00304
DB00977	DB06713
DB00977	DB01395
DB00938	DB05039
DB00938	DB00983
DB00588	DB00972
DB00588	DB00043
DB00588	DB00860
DB00588	DB00983
DB00588	DB00938
DB00334	DB00246
DB00334	DB00502
DB00334	DB00810
DB00334	DB00734
DB00334	DB01224
DB00334	DB00472
DB00695	DB00872
DB00695	DB00978
DB00921	DB01183
DB00190	DB01235
DB00222	DB00980
DB00222	DB01132
DB00222	DB00412
DB00647	DB00945
DB00343	DB08868
DB00912	DB00030
DB00241	DB00945
DB00241	DB00316
DB00627	DB00945
DB00627	DB00973
DB00627	DB00641
DB00227	DB00627
DB00281	DB01234
DB00281	DB00297
DB00281	DB01212
DB00281	DB00878
DB00281	DB00668
DB00073	DB01234
DB00073	DB00078
DB00073	DB00480
DB00073	DB01073
DB00433	DB00398
DB00433	DB00586
DB00433	DB00836
DB00741	DB03904
DB00869	DB00373
DB00869	DB06288
DB00869	DB00800
DB00652	DB00945
DB00652	DB01183
DB01001	DB00332
DB00472	DB00734
DB00472	DB00656
DB00472	DB00215
DB00472	DB01224
DB00472	DB01242
DB00363	DB01238
DB00363	DB00734
DB00363	DB06288
DB00363	DB01224
DB00363	DB00334
DB00363	DB00472
DB00201	DB00696
DB00335	DB00999
DB00335	DB01115
DB00335	DB00436
DB00335	DB08868
DB00661	DB00999
DB00661	DB01149
DB00661	DB01356
DB01023	DB01029
DB00384	DB00999
DB00421	DB01173
DB00421	DB00695
DB00669	DB00285
DB00669	DB00404
DB00371	DB00945
DB00213	DB00563
DB00318	DB01114
DB00318	DB01069
DB01394	DB01032
DB06203	DB04878
DB06203	DB00030
DB01016	DB06203
DB00813	DB00999
DB00813	DB00321
DB00813	DB00575
DB00813	DB00586
DB00813	DB00878
DB00813	DB00907
DB00813	DB00421
DB00813	DB00381
DB00813	DB00433
DB00813	DB01234
DB00813	DB01069
DB00813	DB00904
DB00813	DB00450
DB00813	DB00683
DB00813	DB00829
DB01050	DB00388
DB01050	DB00497
DB01050	DB00318
DB00203	DB06710
DB00203	DB00820
DB00203	DB01088
DB00641	DB00398
DB00641	DB00694
DB00641	DB01259
DB00641	DB02546
DB00641	DB00188
DB00641	DB04868
DB00641	DB01268
DB00641	DB08881
DB00641	DB06616
DB00641	DB00060
DB00641	DB01076
DB00641	DB00175
DB00641	DB01039
DB00788	DB00669
DB00788	DB01075
DB00788	DB00852
DB00015	DB00054
DB01274	DB00588
DB01274	DB01409
DB00973	DB00641
DB00973	DB01076
DB00497	DB01183
DB00497	DB00327
DB00497	DB00945
DB00030	DB06335
DB00030	DB00041
DB01036	DB00999
DB00368	DB00843
DB00368	DB00841
DB00368	DB02638
DB00104	DB00211
DB00734	DB00843
DB00734	DB00810
DB01259	DB01229
DB01259	DB08881
DB01259	DB00072
DB01259	DB00706
DB01259	DB06616
DB01259	DB01030
DB01259	DB02546
DB01259	DB06589
DB00682	DB01109
DB00682	DB00908
DB00682	DB01225
DB00688	DB00877
DB01137	DB00005
DB01137	DB01212
DB00571	DB00421
DB00571	DB00749
DB00571	DB00999
DB01275	DB00313
DB00264	DB00381
DB00264	DB01023
DB00264	DB00999
DB00968	DB00999
DB00722	DB00999
DB00539	DB01229
DB01006	DB00050
DB01006	DB01259
DB00717	DB00783
DB00717	DB00977
DB00717	DB01006
DB00518	DB00602
DB00518	DB00860
DB00436	DB01203
DB00594	DB00999
DB00956	DB00397
DB00956	DB01050
DB00956	DB01114
DB00725	DB00956
DB00999	DB00373
DB00999	DB00421
DB00999	DB00960
DB00999	DB00598
DB00999	DB01275
DB00999	DB01197
DB00706	DB01036
DB00706	DB01234
DB00706	DB01126
DB00706	DB01591
DB00755	DB01169
DB00612	DB00999
DB00612	DB00966
DB00399	DB00997
DB00399	DB04960
DB01075	DB00277
DB01075	DB01050
DB01075	DB01224
DB01075	DB00813
DB01075	DB01069
DB01075	DB00433
DB01075	DB00404
DB01075	DB01234
DB00273	DB00656
DB00273	DB00404
DB00273	DB01224
DB00273	DB00669
DB00273	DB00476
DB00273	DB01202
DB00273	DB00313
DB01029	DB00999
DB01029	DB01197
DB00905	DB00373
DB00394	DB01274
DB00394	DB00938
DB00394	DB01001
DB00394	DB00983
DB01268	DB06616
DB01268	DB00433
DB01268	DB00999
DB01268	DB00381
DB01156	DB01175
DB00704	DB00921
DB00704	DB01156
DB00398	DB08881
DB00398	DB04960
DB00398	DB00530
DB00398	DB00112
DB00398	DB01234
DB00398	DB00421
DB00398	DB01268
DB00398	DB00997
DB00398	DB01645
DB01110	DB00741
DB00115	DB01229
DB01114	DB00397
DB01114	DB01577
DB01098	DB01225
DB01098	DB01241
DB00091	DB00098
DB00091	DB00877
DB00091	DB01098
DB00572	DB00843
DB00572	DB00454
DB00572	DB01010
DB00572	DB00733
DB00572	DB01081
DB01076	DB01039
DB01076	DB00381
DB01076	DB01098
DB01076	DB00758
DB00945	DB00956
DB00945	DB01109
DB00945	DB01076
DB00945	DB01132
DB00945	DB00758
DB01620	DB06711
DB00675	DB00014
DB00471	DB00588
DB00471	DB00860
DB00455	DB00852
DB00455	DB00471
DB00966	DB01115
DB00966	DB00758
DB00966	DB00999
DB00480	DB01234
DB00975	DB00945
DB00975	DB00381
DB00860	DB00860
DB00860	DB00975
DB00381	DB00335
DB00381	DB01113
DB00381	DB00744
DB00381	DB01029
DB00381	DB00999
DB00381	DB00966
DB01132	DB06335
DB01132	DB06203
DB01132	DB04876
DB00996	DB00476
DB00295	DB00497
DB00295	DB00704
DB00295	DB01221
DB00295	DB00316
DB00295	DB00996
DB00317	DB00072
DB00317	DB01268
DB00317	DB00641
DB00317	DB01248
DB00317	DB00762
DB00808	DB00381
DB00537	DB00537
DB00537	DB01032
DB00537	DB00741
DB00537	DB01234
DB00277	DB00721
DB00277	DB01223
DB00850	DB00675
DB00321	DB00475
DB00321	DB00850
DB00563	DB01281
DB00563	DB00005
DB00051	DB00563
DB00852	DB00956
DB00852	DB01075
DB00852	DB01050
DB00852	DB01114
DB00929	DB00586
DB00929	DB00834
DB01069	DB00368
DB01069	DB00836
DB01069	DB00321
DB01069	DB00988
DB01069	DB00215
DB01069	DB00334
DB01069	DB00273
DB01069	DB00433
DB01069	DB01234
DB01069	DB00476
DB01069	DB00656
DB01069	DB00715
DB01069	DB00285
DB01069	DB00734
DB01069	DB01224
DB01069	DB00904
DB01069	DB00675
DB01069	DB00328
DB01069	DB00454
DB00514	DB00908
DB00514	DB00809
DB00514	DB01069
DB00586	DB00908
DB00316	DB00316
DB00316	DB00193
DB00316	DB00497
DB00316	DB00652
DB00316	DB00647
DB00316	DB00318
DB00316	DB01009
DB00316	DB00586
DB01030	DB00641
DB01030	DB08881
DB00877	DB00087
DB00877	DB00054
DB00877	DB00074
DB00877	DB00775
DB00388	DB06691
DB00388	DB01064
DB00388	DB00852
DB00388	DB01233
DB00388	DB01069
DB01194	DB00373
DB00440	DB00537
DB00412	DB00661
DB00412	DB00285
DB00412	DB00321
DB00412	DB00421
DB00412	DB00381
DB00412	DB00656
DB00412	DB00999
DB00412	DB01224
DB00412	DB00052
DB00412	DB00903
DB00412	DB06335
DB00445	DB01248
DB02546	DB00694
DB02546	DB08881
DB02546	DB00056
DB00619	DB00112
DB00619	DB01069
DB00619	DB00328
DB00619	DB00877
DB00619	DB02546
DB00072	DB00112
DB00072	DB01229
DB00072	DB00441
DB00072	DB01248
DB00072	DB00675
DB00072	DB00997
DB00072	DB00445
DB00072	DB00188
DB00575	DB00412
DB00575	DB01224
DB00575	DB01184
DB00575	DB00696
DB00575	DB00633
DB00997	DB00675
DB00997	DB01234
DB00997	DB01248
DB00997	DB01229
DB00313	DB01238
DB00313	DB00334
DB00313	DB00997
DB00313	DB01356
DB00313	DB00996
DB00313	DB00734
DB00252	DB00313
DB00008	DB00811
DB00818	DB00683
DB00818	DB00899
DB00818	DB01236
DB00441	DB01248
DB00441	DB01229
DB01229	DB08881
DB01229	DB00758
DB01229	DB08916
DB00530	DB00072
DB00530	DB00112
DB00530	DB00002
DB00530	DB00904
DB00530	DB01234
DB00530	DB00433
DB00530	DB01248
DB00530	DB00642
DB00112	DB02546
DB00112	DB00034
DB00112	DB01259
DB00112	DB01268
DB00112	DB01229
DB01248	DB01254
DB01248	DB05294
DB00762	DB01248
DB01254	DB00112
DB00773	DB04960
DB00188	DB08881
DB00188	DB00997
DB00188	DB00480
DB00188	DB02546
DB00188	DB00773
DB00983	DB01409
DB00257	DB00741
DB00484	DB01194
DB00373	DB00484
DB05276	DB00442
DB01378	DB09145
DB00571	DB00749
DB00602	DB00518
DB00295	DB00413
DB00016	DB08735
DB01378	DB00928
DB00373	DB00287
DB09038	DB00331
DB01378	DB14765
DB00273	DB01224
DB01378	DB12941
DB09341	DB09393
DB00398	DB09053
DB00958	DB01229
DB01120	DB00331
DB01378	DB11581
DB01222	DB00983
DB01367	DB00413
DB01222	DB00394
DB00193	DB00316
DB00166	DB00230
DB00373	DB08819
DB01378	DB00879
DB01270	DB00112
DB00016	DB12281
DB13751	DB00442
DB01098	DB00973
DB00066	DB12754
DB00997	DB11595
DB01254	DB00665
DB00613	DB09274
DB01252	DB00331
DB01234	DB08910
DB00441	DB12754
DB11702	DB01268
DB14126	DB00879
DB01378	DB00811
DB09145	DB09074
DB00480	DB09570
DB00373	DB00484
DB00065	DB00563
DB01378	DB00032
DB08934	DB09027
DB00310	DB00761
DB14509	DB14869
DB13878	DB13879
DB01378	DB06205
DB01234	DB00188
DB00997	DB00515
DB01270	DB00460
DB01378	DB09037
DB01194	DB00484
DB12836	DB09037
DB06616	DB01378
DB13192	DB00025
DB11133	DB09328
DB00041	DB14865
DB01098	DB00331
DB12403	DB05273
DB01183	DB00497
DB01028	DB09278
DB00361	DB09274
DB01156	DB00704
DB16424	DB00879
DB14776	DB00642
DB00331	DB01307
DB16424	DB00811
DB15151	DB09331
DB14993	DB01041
DB12062	DB00928
DB00518	DB00711
DB12421	DB00052
DB01229	DB01259
DB01029	DB01076
DB09292	DB00177
DB01076	DB00222
DB01378	DB00977
DB14765	DB00642
DB01234	DB00281
DB00445	DB00526
DB13031	DB00704
DB00898	DB09145
DB11727	DB00515
DB15301	DB11639
DB08735	DB12754
DB00818	DB01236
DB00987	DB01073
DB11595	DB00112
DB05812	DB00635
DB09037	DB09078
DB08907	DB00331
DB01101	DB00530
DB00222	DB00331
DB15043	DB00515
DB00394	DB00983
DB09080	DB01409
DB08916	DB01229
DB01378	DB11737
DB09274	DB01117
DB00973	DB00641
DB14989	DB11850
DB00020	DB01128
DB00619	DB15310
DB00986	DB09274
DB01409	DB00983
DB00112	DB08735
DB00177	DB08860
DB00526	DB00323
DB00480	DB01254
DB01101	DB00526
DB00331	DB04876
DB01132	DB01261
DB01378	DB00990
DB11581	DB01262
DB00335	DB01054
DB00975	DB14513
DB00811	DB00008
DB01101	DB05944
DB09035	DB00928
DB00544	DB00515
DB00158	DB00381
DB00398	DB01248
DB01029	DB00381
DB00544	DB00482
DB11581	DB00993
DB00709	DB13868
DB01229	DB08896
DB14126	DB00442
DB11895	DB11876
DB01378	DB13928
DB00544	DB00112
DB05239	DB08881
DB11771	DB11714
DB11595	DB01378
DB00177	DB00381
DB02300	DB02701
DB02546	DB00112
DB14865	DB00531
DB12257	DB00441
DB16424	DB00016
DB01248	DB00635
DB00762	DB00515
DB00515	DB12174
DB08875	DB09035
DB06186	DB09035
DB11581	DB09054
DB11575	DB11574
DB00441	DB00773
DB13941	DB11809
DB00588	DB13867
DB01378	DB00441
DB01378	DB00190
DB01378	DB11793
DB09341	DB01307
DB01378	DB01413
DB11689	DB00851
DB00987	DB01262
DB09274	DB12975
DB00537	DB00482
DB00373	DB00905
DB15043	DB00073
DB00864	DB00442
DB14765	DB01101
DB01307	DB01306
DB04868	DB01229
DB14765	DB14776
DB01020	DB00929
DB15003	DB14924
DB01248	DB00526
DB00331	DB01276
DB00608	DB01087
DB16424	DB00302
DB00958	DB11714
DB01101	DB00515
DB01378	DB01229
DB06401	DB00169
DB16424	DB00030
DB01115	DB14104
DB01378	DB00980
DB01234	DB00860
DB09096	DB00210
DB00022	DB00811
DB00975	DB16075
DB01050	DB00316
DB00542	DB00999
DB04465	DB14077
DB01378	DB00334
DB01101	DB01259
DB11613	DB08934
DB00188	DB00073
DB16424	DB08864
DB00073	DB00635
DB00966	DB00381
DB00402	DB09140
DB01378	DB01137
DB00020	DB00072
DB12257	DB05109
DB09053	DB00073
DB00958	DB00642
DB08823	DB04930
DB01378	DB00947
DB00441	DB12095
DB01406	DB09153
DB01378	DB01273
DB13868	DB00442
DB00112	DB09035
DB01378	DB13124
DB00317	DB00002
DB00938	DB01001
DB00997	DB12754
DB12048	DB01248
DB00331	DB08882
DB01378	DB00331
DB01378	DB01104
DB16424	DB00052
DB01378	DB00009
DB01378	DB00040
DB00678	DB00381
DB01378	DB06643
DB01378	DB00169
DB00451	DB00279
DB01097	DB00635
DB01378	DB11922
DB00588	DB00455
DB09102	DB08934
DB01378	DB00490
DB01083	DB01105
DB01248	DB00515
DB16424	DB00112
DB00034	DB00008
DB14512	DB00983
DB00012	DB08735
DB00482	DB00945
DB00877	DB00441
DB01378	DB00302
DB16424	DB00009
DB06626	DB15043
DB09279	DB00381
DB00958	DB14993
DB01132	DB00052
DB00480	DB01234
DB14655	DB01378
DB00683	DB01378
DB11850	DB00073
DB06285	DB09393
DB15006	DB00036
DB09393	DB11997
DB00066	DB00044
DB01076	DB13031
DB06603	DB08877
DB00758	DB00945
DB00531	DB01073
DB06292	DB01306
DB05494	DB00987
DB00445	DB14765
DB00503	DB06448
DB00480	DB12281
DB09270	DB00641
DB01101	DB00889
DB00295	DB00327
DB14765	DB12257
DB01378	DB01395
DB14892	DB01262
DB11885	DB01248
DB00668	DB00296
DB00442	DB14094
DB01265	DB00300
DB01378	DB01610
DB00650	DB11714
DB00571	DB00877
DB01101	DB12754
DB00526	DB00112
DB11885	DB12257
DB01378	DB00442
DB00788	DB00950
DB00633	DB00813
DB09280	DB08820
DB00563	DB00970
DB00564	DB01202
DB01076	DB00331
DB00572	DB00762
DB01378	DB01284
DB09393	DB09274
DB12118	DB00345
DB16424	DB00515
DB01378	DB01043
DB00105	DB00398
DB09065	DB01072
DB00215	DB09286
DB15310	DB11714
DB01378	DB01248
DB00828	DB00684
DB13854	DB11088
DB00563	DB00002
DB00319	DB01413
DB12077	DB09035
DB12887	DB00073
DB01378	DB09018
DB00853	DB09274
DB00588	DB00938
DB00515	DB00072
DB00631	DB00531
DB00638	DB09287
DB11094	DB00630
DB09050	DB01606
DB08885	DB16424
DB00993	DB00635
DB01378	DB00675
DB00958	DB00947
DB08930	DB08864
DB01229	DB06589
DB01248	DB08735
DB00169	DB09274
DB08897	DB00983
DB01378	DB00563
DB00207	DB00608
DB12754	DB00002
DB09293	DB00024
DB01378	DB00398
DB11680	DB00441
DB12257	DB01006
DB01254	DB01229
DB09082	DB08906
DB00361	DB01101
DB06186	DB00515
DB14935	DB08907
DB00260	DB08815
DB12754	DB05237
DB00588	DB00332
DB01175	DB01238
DB00813	DB12293
DB06708	DB06697
DB01234	DB00218
DB08881	DB01269
DB01223	DB00695
DB04845	DB00635
DB11793	DB00112
DB06595	DB01262
DB00956	DB00316
DB00207	DB01234
DB11727	DB08735
DB00497	DB01628
DB00783	DB00066
DB00977	DB00367
DB09038	DB01307
DB00273	DB00191
DB14993	DB12754
DB06650	DB06769
DB00441	DB01269
DB01378	DB00641
DB16424	DB09143
DB15404	DB00560
DB01378	DB01101
DB01098	DB00381
DB00440	DB09512
DB16424	DB00305
DB00544	DB00958
DB01378	DB14126
DB12483	DB06309
DB00958	DB11760
DB01006	DB00112
DB00175	DB01378
DB01254	DB01073
DB00627	DB11629
DB01030	DB00531
DB01030	DB01248
DB14513	DB00017
DB00515	DB11714
DB09274	DB00060
DB00041	DB00073
DB01597	DB01598
DB00678	DB00421
DB00736	DB00945
DB01378	DB00684
DB06184	DB01248
DB12491	DB01307
DB16424	DB00368
DB09570	DB09331
DB16424	DB01378
DB01217	DB01006
DB01017	DB00227
DB01327	DB00207
DB09046	DB05098
DB00112	DB01268
DB01378	DB15043
DB00480	DB00073
DB00966	DB00999
DB14865	DB00034
DB01378	DB01262
DB11711	DB01001
DB01370	DB01378
DB00373	DB01194
DB00642	DB00515
DB01002	DB00295
DB00008	DB00442
DB16424	DB00853
DB00544	DB01041
DB08735	DB11945
DB00633	DB00296
DB01229	DB00515
DB09279	DB01098
DB00009	DB00156
DB01229	DB00072
DB00287	DB01194
DB16424	DB00650
DB00916	DB00218
DB00112	DB12754
DB01006	DB09073
DB00917	DB00169
DB02300	DB00443
DB00441	DB00515
DB00864	DB01590
DB08930	DB12301
DB09074	DB00317
DB01378	DB06817
DB06616	DB11595
DB00760	DB00438
DB09325	DB09398
DB00052	DB12754
DB00222	DB12412
DB14765	DB09274
DB06205	DB09037
DB01378	DB00166
DB06210	DB02546
DB01101	DB12257
DB06213	DB16075
DB01378	DB08820
DB16424	DB00709
DB16424	DB00479
DB08818	DB09341
DB00163	DB00806
DB00987	DB11581
DB11652	DB05773
DB01378	DB01590
DB00052	DB09287
DB01378	DB06695
DB00526	DB00762
DB06290	DB09274
DB00398	DB09274
DB01378	DB00531
DB01101	DB14993
DB01161	DB00281
DB00002	DB11945
DB00588	DB04465
DB01217	DB00990
DB14684	DB14511
DB01378	DB00373
DB00938	DB13867
DB01378	DB00530
DB00503	DB01072
DB00492	DB00999
DB00681	DB09031
DB11895	DB00539
DB01378	DB09035
DB01024	DB00635
DB09337	DB06690
DB00987	DB00694
DB01378	DB00026
DB00884	DB00169
DB01143	DB00526
DB15404	DB00945
DB00864	DB14219
DB06708	DB01087
DB12583	DB00638
DB14765	DB00762
DB06205	DB00072
DB06176	DB00928
DB01132	DB01039
DB01101	DB00112
DB01264	DB01072
DB11997	DB12754
DB01234	DB01307
DB00398	DB01611
DB00907	DB00388
DB10394	DB14179
DB00020	DB00965
DB12078	DB01217
DB06589	DB01259
DB00441	DB00526
DB00928	DB11759
DB00203	DB00559
DB06536	DB01307
DB09035	DB00073
DB09228	DB12754
DB04901	DB00073
DB00398	DB00762
DB01413	DB13090
DB00783	DB11150
DB00480	DB06049
DB08896	DB06309
DB00044	DB09274
DB00842	DB01011
DB06186	DB06091
DB01282	DB00107
DB00358	DB09274
DB00373	DB00869
DB00601	DB01598
DB09310	DB12909
DB01378	DB01128
DB11702	DB08735
DB00435	DB09126
DB00958	DB09074
DB00809	DB00388
DB01378	DB00218
DB05773	DB09073
DB00460	DB00112
DB14707	DB14811
DB00361	DB02546
DB01378	DB02546
DB11094	DB00169
DB09274	DB00635
DB01234	DB08889
DB01378	DB09330
DB01378	DB00927
DB13928	DB09038
DB01586	DB00959
DB09279	DB01076
DB01229	DB00526
DB00005	DB00563
DB01101	DB01006
DB00813	DB00818
DB06285	DB05829
DB00331	DB06655
DB01001	DB00983
DB01262	DB12484
DB06703	DB00441
DB09876	DB12169
DB11793	DB00773
DB09037	DB04326
DB08818	DB00476
DB01378	DB01234
DB00297	DB00281
DB00631	DB00188
DB15043	DB09078
DB08875	DB11714
DB00528	DB00584
DB01065	DB13178
DB00388	DB08735
DB00997	DB01378
DB01042	DB12754
DB00297	DB00575
DB14707	DB09143
DB01378	DB11133
DB00928	DB06769
DB01378	DB01006
DB00218	DB00860
DB00435	DB09053
DB04858	DB00515
DB06772	DB00635
DB00435	DB08735
DB01248	DB12974
DB08930	DB00709
DB11581	DB00928
DB00023	DB12754
DB00373	DB00654
DB01378	DB00361
DB00683	DB00813
DB05494	DB01177
DB09109	DB00025 
DB11885	DB00762
DB12169	DB09274
DB12754	DB09078
DB00758	DB06228
DB00030	DB01307
DB01378	DB00635
DB00864	DB00635
DB00864	DB01024
DB01378	DB01126
DB00877	DB00136
DB01248	DB00642
DB00945	DB14869
DB14776	DB11727
DB00945	DB05229
DB06663	DB00248
DB01229	DB12956
DB00751	DB00852
DB01262	DB01645
DB01248	DB12047
DB06192	DB00762
DB00398	DB00112
DB01132	DB09038
DB06292	DB01276
DB00390	DB01262
DB00278	DB00009
DB00999	DB00381
DB00390	DB12212
DB00295	DB00708
DB01378	DB06218
DB14776	DB00112
DB01054	DB00999
DB00997	DB11714
DB01378	DB00688
DB01378	DB09512
DB01378	DB11951
DB01378	DB00503
DB13926	DB09274
DB00435	DB00052
DB00105	DB00482
DB11885	DB09074
DB01378	DB00381
DB13896	DB09037
DB01378	DB00073
DB01222	DB00471
DB11942	DB00619
DB00878	DB11091
DB09236	DB00966
DB00177	DB09026
DB00531	DB00072
DB16424	DB12754
DB01098	DB00275
DB01058	DB00518
DB00746	DB08826
DB11595	DB08875
DB01378	DB00515
DB06192	DB00002
DB05134	DB12754
DB01378	DB12154
DB00958	DB00441
DB01378	DB00281
DB01378	DB06655
DB00811	DB08934
DB00028	DB08889
DB00993	DB00928
DB01039	DB00331
DB00398	DB00331
DB09060	DB00438
DB00013	DB00086
DB00853	DB00477
DB00441	DB09035
DB00742	DB00060
DB00966	DB00178
DB00633	DB01221
DB09330	DB00112
DB12048	DB00002
DB11841	DB09035
DB01080	DB00860
DB06334	DB00515
DB11760	DB11945
DB02959	DB00190
DB13281	DB06151
DB00688	DB00993
DB06151	DB00316
DB00480	DB01590
DB01039	DB01098
DB09551	DB00009
DB08916	DB00361
DB00334	DB00740
DB13145	DB00441
DB14131	DB06244
DB12310	DB00145
DB01378	DB09069
DB15404	DB11166
DB06210	DB11994
DB11627	DB05276
DB01378	DB04106
DB09073	DB00947
DB00041	DB00563
DB14993	DB00072
DB00480	DB00987
DB01378	DB04835
DB06515	DB11890
DB00808	DB00381
DB00997	DB11060
DB06486	DB00530
DB00878	DB09274
DB09074	DB00515
DB00126	DB00441
DB04835	DB00877
DB00441	DB01248
DB16424	DB00257
DB12754	DB00072
DB00535	DB01060
DB01234	DB00316
DB12940	DB13133
DB01378	DB00586
DB06817	DB00503
DB05136	DB01248
DB01229	DB04996
DB01378	DB09070
DB00435	DB16093
DB13262	DB00809
DB00904	DB01378
DB00066	DB14741
DB00646	DB00994
DB00459	DB08881
DB00878	DB00410
DB01043	DB00989
DB00938	DB09153
DB01590	DB00928
DB16424	DB08932
DB14283	DB14511
DB06772	DB01259
DB00302	DB09153
DB09222	DB11300
DB00074	DB00065
DB01132	DB00331
DB00704	DB00316
DB12332	DB00762
DB01378	DB00188
DB01270	DB06589
DB00441	DB09216
DB01378	DB00050
DB08885	DB01378
DB00218	DB01060
DB11703	DB09037
DB01586	DB00973
DB01033	DB01378
DB09074	DB11714
DB01235	DB00190
DB00435	DB14865
DB00997	DB09037
DB09564	DB00331
DB00783	DB00396
DB01234	DB11581
DB01378	DB08882
DB12483	DB06176
